iden,year,name,profit,cumprofit,income,yield,cost,Ncost,disease,diseaseImpact,weedpenalty,newN,newseedbank
0.6,0,wheat,36.000925357684395,36.000925357684395,625.9009253576844,1.7882883581648126,350.0,239.9,0.35039914497460717,0.094243558851588596,0.10256410256410253,0.0,137.3377669822485
0.65,1,wheat,42.407569293680424,78.408494651364819,634.63954662492677,1.8132558474997906,350.0,240.0,0.3966409547114223,0.075269387262817983,0.10870561430927361,0.0,387.6213563728876
0.15,2,sprayed pasture,-207.57499999999999,-129.16650534863516,0.0,1.3546164327339518,230.0,0.0,0.40727770006576491,0.0,0.22870129752530155,33.865410818348792,151.688781016468
0.8,3,wheat,118.20514102492467,-10.961364323710484,660.13783679738867,1.8861081051353961,350.0,172.26917836330242,0.1,0.037034315018276087,0.1097067327098935,0.0,476.43486468258334
0.45,4,wheat,-1.7026625148992887,-12.664026838609772,587.90957710281623,1.6797416488651893,350.0,240.0,0.24956937035841609,0.074056232955990911,0.13177448749041365,0.0,1145.1125120688714
0.95,5,sprayed pasture,-177.96961562499996,-190.63364246360973,0.0,2.1622969625626545,230.0,0.0,0.34881710634469981,0.0,0.27923434581244844,54.05742406406636,672.7713129098931
0.1,6,wheat,-126.43543360854031,-317.06907607215004,309.88565735827569,0.88538759245221621,350.0,131.88515187186727,0.1,0.034680543710532551,0.144593501246574,0.0,1068.802485411858
0.7,7,wheat,0.069230930063483839,-316.99984514208654,590.09913680745785,1.6859975337355939,350.0,240.0,0.27384983261449364,0.077413897387942632,0.1693322572661684,0.0,2923.6286837971265
0.35,8,sprayed pasture,-152.58669919648432,-469.58654433857089,0.0,1.5851819445860174,230.0,0.0,0.35649586059165456,0.0,0.3753261742406915,39.629548614650432,1166.1975314750507
0.3,9,wheat,-13.698390356654942,-483.28493469522584,489.00603059899726,1.3971600874257064,350.0,160.74090277069914,0.1,0.025649601091346137,0.1751985297839922,0.0,2370.97516119981
0.6,0,wheat,38.015683208157697,38.015683208157697,627.9156832081577,1.7940448091661649,350.0,239.9,0.34161279348016249,0.091327953798955572,0.10256410256410253,0.0,137.3377669822485
